event_time,channel,anon_id,event_name,event_props,ingestion_time
2026-02-13T04:29:42.308723,app,anon_00016,talk_to_consultant,{},2026-02-13T04:29:42.308723
2026-02-13T04:23:17.872816,app,anon_00017,product_view,"{""category"": ""lampada"", ""value"": 2572.9}",2026-02-13T04:23:17.872816
2026-02-13T04:17:39.406346,web,anon_00032,submit_quote,"{""category"": ""azulejo"", ""value"": 668.73}",2026-02-13T04:17:39.406346
2026-02-13T04:06:31.114152,whatsapp,anon_00038,page_view,{},2026-02-13T04:06:31.114152
2026-02-13T03:53:49.734467,store,anon_00000,add_to_cart,"{""category"": ""azulejo"", ""value"": 1838.54}",2026-02-13T03:53:49.734467
2026-02-13T03:52:11.638585,app,anon_00001,product_view,"{""category"": ""persiana"", ""value"": 1888.71}",2026-02-13T03:52:11.638585
2026-02-13T03:26:48.658085,app,anon_00041,product_view,"{""category"": ""lampada"", ""value"": 1509.31}",2026-02-13T03:26:48.658085
2026-02-13T03:01:23.437246,store,anon_00072,whatsapp_quote_request,{},2026-02-13T03:01:23.437246
2026-02-13T02:49:48.453978,store,anon_00035,talk_to_consultant,{},2026-02-13T02:49:48.453978
2026-02-13T01:59:32.663479,app,anon_00094,submit_quote,"{""category"": ""piso"", ""value"": 2104.25}",2026-02-13T01:59:32.663479
2026-02-13T01:13:54.648103,store,anon_00052,add_to_cart,"{""category"": ""rodape"", ""value"": 3780.94}",2026-02-13T01:13:54.648103
2026-02-13T01:13:04.735508,app,anon_00039,whatsapp_quote_request,{},2026-02-13T01:13:04.735508
2026-02-13T00:29:02.639853,app,anon_00004,search,"{""query"": ""janela aluminio""}",2026-02-13T00:29:02.639853
2026-02-13T00:13:16.111311,whatsapp,anon_00032,product_view,"{""category"": ""azulejo"", ""value"": 475.29}",2026-02-13T00:13:16.111311
2026-02-13T00:04:00.361311,store,anon_00092,scan_qr_service,{},2026-02-13T00:04:00.361311
2026-02-13T00:00:42.913292,whatsapp,anon_00038,search,"{""query"": ""tinta parede""}",2026-02-13T00:00:42.913292
2026-02-12T23:59:09.502414,app,anon_00004,product_view,"{""category"": ""tinta"", ""value"": 352.92}",2026-02-12T23:59:09.502414
2026-02-12T23:27:53.725978,app,anon_00007,add_to_cart,"{""category"": ""rejunte"", ""value"": 2958.39}",2026-02-12T23:27:53.725978
2026-02-12T23:25:14.549524,whatsapp,anon_00069,submit_quote,"{""category"": ""azulejo"", ""value"": 121.09}",2026-02-12T23:25:14.549524
2026-02-12T22:48:50.828220,web,anon_00043,whatsapp_quote_request,{},2026-02-12T22:48:50.828220
2026-02-12T22:31:53.350166,app,anon_00092,add_to_cart,"{""category"": ""rodape"", ""value"": 4064.92}",2026-02-12T22:31:53.350166
2026-02-12T20:08:20.053719,store,anon_00002,page_view,{},2026-02-12T20:08:20.053719
2026-02-12T19:49:52.601356,whatsapp,anon_00050,add_to_cart,"{""category"": ""rejunte"", ""value"": 1152.18}",2026-02-12T19:49:52.601356
2026-02-12T19:44:16.647963,store,anon_00013,add_to_cart,"{""category"": ""azulejo"", ""value"": 1508.54}",2026-02-12T19:44:16.647963
2026-02-12T19:24:44.012010,app,anon_00007,submit_quote,"{""category"": ""tomada"", ""value"": 2953.09}",2026-02-12T19:24:44.012010
2026-02-12T19:10:38.014846,whatsapp,anon_00054,whatsapp_quote_request,{},2026-02-12T19:10:38.014846
2026-02-12T19:06:15.004678,app,anon_00092,talk_to_consultant,{},2026-02-12T19:06:15.004678
2026-02-12T18:40:06.164495,app,anon_00057,product_view,"{""category"": ""rodape"", ""value"": 1278.13}",2026-02-12T18:40:06.164495
2026-02-12T18:34:21.362939,whatsapp,anon_00017,add_to_cart,"{""category"": ""rodape"", ""value"": 4972.2}",2026-02-12T18:34:21.362939
2026-02-12T18:32:21.364665,store,anon_00016,page_view,{},2026-02-12T18:32:21.364665
2026-02-12T17:18:51.054794,web,anon_00092,talk_to_consultant,{},2026-02-12T17:18:51.054794
2026-02-12T16:31:07.349411,app,anon_00065,whatsapp_quote_request,{},2026-02-12T16:31:07.349411
2026-02-12T15:16:26.898571,app,anon_00094,begin_checkout,{},2026-02-12T15:16:26.898571
2026-02-12T14:08:30.642012,web,anon_00012,whatsapp_quote_request,{},2026-02-12T14:08:30.642012
2026-02-12T13:57:31.862135,whatsapp,anon_00065,begin_checkout,{},2026-02-12T13:57:31.862135
2026-02-12T12:09:55.917181,app,anon_00091,product_view,"{""category"": ""massa"", ""value"": 4848.68}",2026-02-12T12:09:55.917181
2026-02-12T11:50:54.409229,app,anon_00021,begin_checkout,{},2026-02-12T11:50:54.409229
2026-02-12T11:07:09.314800,app,anon_00083,scan_qr_service,{},2026-02-12T11:07:09.314800
2026-02-12T09:01:17.598589,web,anon_00097,submit_quote,"{""category"": ""massa"", ""value"": 4266.94}",2026-02-12T09:01:17.598589
2026-02-12T08:58:58.426196,web,anon_00039,product_view,"{""category"": ""ferramentas"", ""value"": 4759.17}",2026-02-12T08:58:58.426196
2026-02-12T06:59:31.723238,store,anon_00094,submit_quote,"{""category"": ""cimento"", ""value"": 1760.02}",2026-02-12T06:59:31.723238
2026-02-12T06:25:49.279482,app,anon_00091,product_view,"{""category"": ""lixa"", ""value"": 1558.64}",2026-02-12T06:25:49.279482
2026-02-12T05:05:53.663651,web,anon_00039,page_view,{},2026-02-12T05:05:53.663651
2026-02-12T04:16:28.560161,whatsapp,anon_00041,add_to_cart,"{""category"": ""rejunte"", ""value"": 4267.42}",2026-02-12T04:16:28.560161
2026-02-12T01:31:12.336538,store,anon_00021,product_view,"{""category"": ""massa"", ""value"": 3365.95}",2026-02-12T01:31:12.336538
2026-02-12T01:02:24.077243,app,anon_00071,add_to_cart,"{""category"": ""piso"", ""value"": 4036.9}",2026-02-12T01:02:24.077243
2026-02-12T00:06:18.598619,web,anon_00091,search,"{""query"": ""reforma completa""}",2026-02-12T00:06:18.598619
2026-02-11T22:17:20.192527,app,anon_00051,begin_checkout,{},2026-02-11T22:17:20.192527
2026-02-11T22:07:25.955799,web,anon_00032,talk_to_consultant,{},2026-02-11T22:07:25.955799
2026-02-11T21:36:00.539788,store,anon_00092,whatsapp_quote_request,{},2026-02-11T21:36:00.539788
2026-02-11T20:53:29.064085,web,anon_00075,talk_to_consultant,{},2026-02-11T20:53:29.064085
2026-02-11T20:40:53.642003,whatsapp,anon_00027,begin_checkout,{},2026-02-11T20:40:53.642003
2026-02-11T20:39:09.355752,web,anon_00062,submit_quote,"{""category"": ""persiana"", ""value"": 3331.03}",2026-02-11T20:39:09.355752
2026-02-11T20:17:55.190232,store,anon_00007,submit_quote,"{""category"": ""janela"", ""value"": 4817.28}",2026-02-11T20:17:55.190232
2026-02-11T19:48:45.461905,whatsapp,anon_00016,page_view,{},2026-02-11T19:48:45.461905
2026-02-11T17:38:33.862115,app,anon_00062,page_view,{},2026-02-11T17:38:33.862115
2026-02-11T17:08:23.314696,web,anon_00056,talk_to_consultant,{},2026-02-11T17:08:23.314696
2026-02-11T16:21:29.699520,store,anon_00094,scan_qr_service,{},2026-02-11T16:21:29.699520
2026-02-11T16:03:23.931432,web,anon_00054,add_to_cart,"{""category"": ""persiana"", ""value"": 1992.42}",2026-02-11T16:03:23.931432
2026-02-11T14:34:38.323921,web,anon_00086,begin_checkout,{},2026-02-11T14:34:38.323921
2026-02-11T14:25:20.248489,web,anon_00075,page_view,{},2026-02-11T14:25:20.248489
2026-02-11T14:25:03.861938,whatsapp,anon_00053,submit_quote,"{""category"": ""porta"", ""value"": 4210.29}",2026-02-11T14:25:03.861938
2026-02-11T12:59:21.585867,whatsapp,anon_00036,talk_to_consultant,{},2026-02-11T12:59:21.585867
2026-02-11T12:17:21.393193,app,anon_00070,product_view,"{""category"": ""persiana"", ""value"": 4965.03}",2026-02-11T12:17:21.393193
2026-02-11T12:07:52.851663,whatsapp,anon_00047,scan_qr_service,{},2026-02-11T12:07:52.851663
2026-02-11T11:18:46.324676,store,anon_00040,whatsapp_quote_request,{},2026-02-11T11:18:46.324676
2026-02-11T11:04:36.638651,app,anon_00032,talk_to_consultant,{},2026-02-11T11:04:36.638651
2026-02-11T09:54:07.677581,web,anon_00092,add_to_cart,"{""category"": ""rejunte"", ""value"": 3162.19}",2026-02-11T09:54:07.677581
2026-02-11T09:27:17.533170,web,anon_00087,whatsapp_quote_request,{},2026-02-11T09:27:17.533170
2026-02-11T09:18:27.391204,store,anon_00097,scan_qr_service,{},2026-02-11T09:18:27.391204
2026-02-11T08:39:21.057684,whatsapp,anon_00044,submit_quote,"{""category"": ""porta"", ""value"": 2026.35}",2026-02-11T08:39:21.057684
2026-02-11T08:35:22.364916,app,anon_00035,add_to_cart,"{""category"": ""massa"", ""value"": 4445.75}",2026-02-11T08:35:22.364916
2026-02-11T07:33:17.555901,app,anon_00004,whatsapp_quote_request,{},2026-02-11T07:33:17.555901
2026-02-11T07:26:08.487368,app,anon_00092,page_view,{},2026-02-11T07:26:08.487368
2026-02-11T06:02:12.302375,store,anon_00072,whatsapp_quote_request,{},2026-02-11T06:02:12.302375
2026-02-11T04:55:49.626097,whatsapp,anon_00091,page_view,{},2026-02-11T04:55:49.626097
2026-02-11T04:52:07.700223,web,anon_00071,add_to_cart,"{""category"": ""lixa"", ""value"": 3423.4}",2026-02-11T04:52:07.700223
2026-02-11T04:12:50.523860,web,anon_00026,page_view,{},2026-02-11T04:12:50.523860
2026-02-11T03:47:49.918041,web,anon_00016,submit_quote,"{""category"": ""tinta"", ""value"": 2179.24}",2026-02-11T03:47:49.918041
2026-02-11T03:35:30.920053,web,anon_00062,whatsapp_quote_request,{},2026-02-11T03:35:30.920053
2026-02-11T03:11:57.857784,whatsapp,anon_00028,submit_quote,"{""category"": ""ferramentas"", ""value"": 1976.07}",2026-02-11T03:11:57.857784
2026-02-11T03:07:31.882662,app,anon_00044,begin_checkout,{},2026-02-11T03:07:31.882662
2026-02-11T02:25:40.411401,web,anon_00074,scan_qr_service,{},2026-02-11T02:25:40.411401
2026-02-11T01:25:43.432032,whatsapp,anon_00001,whatsapp_quote_request,{},2026-02-11T01:25:43.432032
2026-02-11T01:22:53.546752,app,anon_00091,scan_qr_service,{},2026-02-11T01:22:53.546752
2026-02-11T01:14:04.685205,store,anon_00055,submit_quote,"{""category"": ""piso"", ""value"": 960.25}",2026-02-11T01:14:04.685205
2026-02-11T00:37:48.291186,web,anon_00026,page_view,{},2026-02-11T00:37:48.291186
2026-02-11T00:36:01.563375,web,anon_00012,whatsapp_quote_request,{},2026-02-11T00:36:01.563375
2026-02-11T00:19:21.214786,whatsapp,anon_00077,product_view,"{""category"": ""tinta"", ""value"": 2453.76}",2026-02-11T00:19:21.214786
2026-02-10T23:49:15.818084,app,anon_00043,whatsapp_quote_request,{},2026-02-10T23:49:15.818084
2026-02-10T23:07:10.776028,app,anon_00045,scan_qr_service,{},2026-02-10T23:07:10.776028
2026-02-10T21:20:36.210273,web,anon_00017,page_view,{},2026-02-10T21:20:36.210273
2026-02-10T20:48:09.332558,store,anon_00074,add_to_cart,"{""category"": ""lixa"", ""value"": 3853.87}",2026-02-10T20:48:09.332558
2026-02-10T20:39:22.271672,store,anon_00004,add_to_cart,"{""category"": ""porta"", ""value"": 649.46}",2026-02-10T20:39:22.271672
2026-02-10T20:30:50.512705,app,anon_00092,page_view,{},2026-02-10T20:30:50.512705
2026-02-10T18:32:17.470721,app,anon_00062,add_to_cart,"{""category"": ""tinta"", ""value"": 3704.44}",2026-02-10T18:32:17.470721
2026-02-10T18:14:47.948010,app,anon_00032,whatsapp_quote_request,{},2026-02-10T18:14:47.948010
2026-02-10T16:42:22.800183,app,anon_00062,product_view,"{""category"": ""lixa"", ""value"": 4258.94}",2026-02-10T16:42:22.800183
2026-02-10T16:27:33.808864,whatsapp,anon_00071,whatsapp_quote_request,{},2026-02-10T16:27:33.808864
2026-02-10T15:37:06.218152,whatsapp,anon_00094,product_view,"{""category"": ""massa"", ""value"": 3033.66}",2026-02-10T15:37:06.218152
2026-02-10T14:43:52.914060,whatsapp,anon_00044,page_view,{},2026-02-10T14:43:52.914060
2026-02-10T14:29:48.230388,whatsapp,anon_00011,page_view,{},2026-02-10T14:29:48.230388
2026-02-10T13:56:23.136457,app,anon_00094,submit_quote,"{""category"": ""janela"", ""value"": 1501.08}",2026-02-10T13:56:23.136457
2026-02-10T13:20:57.004748,app,anon_00048,page_view,{},2026-02-10T13:20:57.004748
2026-02-10T13:10:43.799688,store,anon_00012,page_view,{},2026-02-10T13:10:43.799688
2026-02-10T12:28:39.516335,web,anon_00091,page_view,{},2026-02-10T12:28:39.516335
2026-02-10T12:20:54.225614,app,anon_00069,begin_checkout,{},2026-02-10T12:20:54.225614
2026-02-10T12:10:53.993594,app,anon_00041,whatsapp_quote_request,{},2026-02-10T12:10:53.993594
2026-02-10T11:57:54.749893,whatsapp,anon_00016,page_view,{},2026-02-10T11:57:54.749893
2026-02-10T10:50:33.737457,app,anon_00056,product_view,"{""category"": ""rodape"", ""value"": 3453.7}",2026-02-10T10:50:33.737457
2026-02-10T10:19:12.432126,app,anon_00097,begin_checkout,{},2026-02-10T10:19:12.432126
2026-02-10T09:16:53.298705,whatsapp,anon_00041,page_view,{},2026-02-10T09:16:53.298705
2026-02-10T08:26:46.857658,web,anon_00039,add_to_cart,"{""category"": ""azulejo"", ""value"": 1308.78}",2026-02-10T08:26:46.857658
2026-02-10T08:17:11.372648,web,anon_00004,scan_qr_service,{},2026-02-10T08:17:11.372648
2026-02-10T07:57:35.593979,store,anon_00019,page_view,{},2026-02-10T07:57:35.593979
2026-02-10T07:30:13.251004,web,anon_00012,product_view,"{""category"": ""tinta"", ""value"": 2508.01}",2026-02-10T07:30:13.251004
2026-02-10T07:29:28.428275,app,anon_00024,talk_to_consultant,{},2026-02-10T07:29:28.428275
2026-02-10T06:27:36.015333,web,anon_00045,add_to_cart,"{""category"": ""areia"", ""value"": 2337.76}",2026-02-10T06:27:36.015333
2026-02-10T06:15:16.671473,app,anon_00051,whatsapp_quote_request,{},2026-02-10T06:15:16.671473
2026-02-10T05:45:08.169113,store,anon_00066,add_to_cart,"{""category"": ""azulejo"", ""value"": 1558.7}",2026-02-10T05:45:08.169113
2026-02-10T05:30:34.411227,web,anon_00049,whatsapp_quote_request,{},2026-02-10T05:30:34.411227
2026-02-10T01:27:26.184954,whatsapp,anon_00007,whatsapp_quote_request,{},2026-02-10T01:27:26.184954
2026-02-10T01:26:13.784079,app,anon_00087,product_view,"{""category"": ""massa"", ""value"": 1058.7}",2026-02-10T01:26:13.784079
2026-02-09T23:53:48.626464,whatsapp,anon_00045,whatsapp_quote_request,{},2026-02-09T23:53:48.626464
2026-02-09T23:42:07.347032,store,anon_00092,product_view,"{""category"": ""azulejo"", ""value"": 1998.05}",2026-02-09T23:42:07.347032
2026-02-09T22:33:54.611047,app,anon_00032,begin_checkout,{},2026-02-09T22:33:54.611047
2026-02-09T20:59:20.315459,app,anon_00036,begin_checkout,{},2026-02-09T20:59:20.315459
2026-02-09T20:58:36.309173,app,anon_00065,page_view,{},2026-02-09T20:58:36.309173
2026-02-09T20:42:43.391446,app,anon_00097,add_to_cart,"{""category"": ""rejunte"", ""value"": 4690.38}",2026-02-09T20:42:43.391446
2026-02-09T18:55:55.677210,whatsapp,anon_00080,whatsapp_quote_request,{},2026-02-09T18:55:55.677210
2026-02-09T17:12:33.141577,whatsapp,anon_00011,add_to_cart,"{""category"": ""persiana"", ""value"": 1861.06}",2026-02-09T17:12:33.141577
2026-02-09T16:33:32.259608,store,anon_00062,talk_to_consultant,{},2026-02-09T16:33:32.259608
2026-02-09T16:02:18.157970,whatsapp,anon_00052,submit_quote,"{""category"": ""tomada"", ""value"": 300.82}",2026-02-09T16:02:18.157970
2026-02-09T15:48:58.729029,app,anon_00048,talk_to_consultant,{},2026-02-09T15:48:58.729029
2026-02-09T15:00:42.549829,app,anon_00003,add_to_cart,"{""category"": ""areia"", ""value"": 3973.03}",2026-02-09T15:00:42.549829
2026-02-09T13:42:46.702091,whatsapp,anon_00065,page_view,{},2026-02-09T13:42:46.702091
2026-02-09T13:38:11.651834,web,anon_00076,page_view,{},2026-02-09T13:38:11.651834
2026-02-09T13:24:09.737820,app,anon_00097,product_view,"{""category"": ""ferramentas"", ""value"": 3978.84}",2026-02-09T13:24:09.737820
2026-02-09T13:00:46.361170,store,anon_00039,scan_qr_service,{},2026-02-09T13:00:46.361170
2026-02-09T12:46:49.958420,web,anon_00078,submit_quote,"{""category"": ""azulejo"", ""value"": 785.07}",2026-02-09T12:46:49.958420
2026-02-09T12:37:30.994760,whatsapp,anon_00039,whatsapp_quote_request,{},2026-02-09T12:37:30.994760
2026-02-09T12:28:13.337340,web,anon_00092,page_view,{},2026-02-09T12:28:13.337340
2026-02-09T12:27:19.120624,store,anon_00092,talk_to_consultant,{},2026-02-09T12:27:19.120624
2026-02-09T11:50:16.509222,store,anon_00066,page_view,{},2026-02-09T11:50:16.509222
2026-02-09T11:28:23.754720,app,anon_00075,page_view,{},2026-02-09T11:28:23.754720
2026-02-09T10:48:56.335226,store,anon_00019,product_view,"{""category"": ""massa"", ""value"": 4917.49}",2026-02-09T10:48:56.335226
2026-02-09T09:05:15.511439,whatsapp,anon_00072,talk_to_consultant,{},2026-02-09T09:05:15.511439
2026-02-09T07:49:45.775443,app,anon_00016,add_to_cart,"{""category"": ""ferramentas"", ""value"": 2674.19}",2026-02-09T07:49:45.775443
2026-02-09T07:27:19.393826,store,anon_00065,scan_qr_service,{},2026-02-09T07:27:19.393826
2026-02-09T07:26:16.441456,whatsapp,anon_00000,add_to_cart,"{""category"": ""tomada"", ""value"": 406.3}",2026-02-09T07:26:16.441456
2026-02-09T05:55:43.157064,web,anon_00016,talk_to_consultant,{},2026-02-09T05:55:43.157064
2026-02-09T04:10:43.136073,store,anon_00062,submit_quote,"{""category"": ""azulejo"", ""value"": 2098.71}",2026-02-09T04:10:43.136073
2026-02-09T04:09:03.233817,store,anon_00021,scan_qr_service,{},2026-02-09T04:09:03.233817
2026-02-09T04:00:47.950392,whatsapp,anon_00052,whatsapp_quote_request,{},2026-02-09T04:00:47.950392
2026-02-09T03:50:39.416571,app,anon_00085,page_view,{},2026-02-09T03:50:39.416571
2026-02-09T03:49:02.765382,whatsapp,anon_00051,talk_to_consultant,{},2026-02-09T03:49:02.765382
2026-02-09T03:48:29.563271,store,anon_00004,talk_to_consultant,{},2026-02-09T03:48:29.563271
2026-02-09T03:44:43.006785,web,anon_00003,talk_to_consultant,{},2026-02-09T03:44:43.006785
2026-02-09T03:36:25.002309,store,anon_00001,talk_to_consultant,{},2026-02-09T03:36:25.002309
2026-02-09T03:25:39.665962,app,anon_00072,talk_to_consultant,{},2026-02-09T03:25:39.665962
2026-02-09T02:51:12.646103,whatsapp,anon_00047,begin_checkout,{},2026-02-09T02:51:12.646103
2026-02-09T02:03:24.522314,store,anon_00085,product_view,"{""category"": ""lampada"", ""value"": 2835.41}",2026-02-09T02:03:24.522314
2026-02-09T01:54:49.015000,app,anon_00092,page_view,{},2026-02-09T01:54:49.015000
2026-02-09T01:42:24.099995,web,anon_00066,begin_checkout,{},2026-02-09T01:42:24.099995
2026-02-09T01:36:32.942070,app,anon_00065,product_view,"{""category"": ""janela"", ""value"": 4850.5}",2026-02-09T01:36:32.942070
2026-02-09T01:23:42.362057,app,anon_00041,product_view,"{""category"": ""piso"", ""value"": 3690.57}",2026-02-09T01:23:42.362057
2026-02-09T00:52:27.956954,app,anon_00000,add_to_cart,"{""category"": ""piso"", ""value"": 1472.5}",2026-02-09T00:52:27.956954
2026-02-09T00:47:02.952619,store,anon_00072,product_view,"{""category"": ""lixa"", ""value"": 4785.26}",2026-02-09T00:47:02.952619
2026-02-09T00:32:18.951474,store,anon_00088,scan_qr_service,{},2026-02-09T00:32:18.951474
2026-02-09T00:30:48.022356,web,anon_00062,begin_checkout,{},2026-02-09T00:30:48.022356
2026-02-09T00:22:13.284527,web,anon_00017,submit_quote,"{""category"": ""porta"", ""value"": 3431.73}",2026-02-09T00:22:13.284527
2026-02-08T23:57:45.094884,whatsapp,anon_00041,submit_quote,"{""category"": ""areia"", ""value"": 4875.23}",2026-02-08T23:57:45.094884
2026-02-08T23:30:19.078306,web,anon_00055,submit_quote,"{""category"": ""azulejo"", ""value"": 497.21}",2026-02-08T23:30:19.078306
2026-02-08T23:25:23.142939,web,anon_00055,search,"{""query"": ""porta madeira""}",2026-02-08T23:25:23.142939
2026-02-08T22:35:49.340932,app,anon_00060,scan_qr_service,{},2026-02-08T22:35:49.340932
2026-02-08T21:20:27.450704,app,anon_00051,scan_qr_service,{},2026-02-08T21:20:27.450704
2026-02-08T21:14:57.057343,store,anon_00017,submit_quote,"{""category"": ""rodape"", ""value"": 4074.95}",2026-02-08T21:14:57.057343
2026-02-08T20:36:11.650325,store,anon_00062,page_view,{},2026-02-08T20:36:11.650325
2026-02-08T20:06:09.523252,store,anon_00020,whatsapp_quote_request,{},2026-02-08T20:06:09.523252
2026-02-08T20:05:51.005873,whatsapp,anon_00065,product_view,"{""category"": ""persiana"", ""value"": 558.07}",2026-02-08T20:05:51.005873
2026-02-08T19:13:58.781358,whatsapp,anon_00015,product_view,"{""category"": ""cimento"", ""value"": 2659.45}",2026-02-08T19:13:58.781358
2026-02-08T19:04:33.817970,web,anon_00066,page_view,{},2026-02-08T19:04:33.817970
2026-02-08T18:25:30.337098,app,anon_00004,product_view,"{""category"": ""massa"", ""value"": 1576.7}",2026-02-08T18:25:30.337098
2026-02-08T17:34:07.642680,app,anon_00027,product_view,"{""category"": ""tinta"", ""value"": 3764.17}",2026-02-08T17:34:07.642680
2026-02-08T17:28:39.711101,whatsapp,anon_00048,page_view,{},2026-02-08T17:28:39.711101
2026-02-08T16:14:43.324864,app,anon_00087,submit_quote,"{""category"": ""tinta"", ""value"": 1476.43}",2026-02-08T16:14:43.324864
2026-02-08T16:11:03.642460,app,anon_00012,page_view,{},2026-02-08T16:11:03.642460
2026-02-08T16:04:25.824719,web,anon_00074,page_view,{},2026-02-08T16:04:25.824719
2026-02-08T15:56:02.058853,app,anon_00062,product_view,"{""category"": ""massa"", ""value"": 3717.81}",2026-02-08T15:56:02.058853
2026-02-08T14:38:59.692044,store,anon_00097,page_view,{},2026-02-08T14:38:59.692044
2026-02-08T14:31:29.371845,web,anon_00027,product_view,"{""category"": ""tomada"", ""value"": 1588.41}",2026-02-08T14:31:29.371845
2026-02-08T13:47:00.582521,web,anon_00074,page_view,{},2026-02-08T13:47:00.582521
2026-02-08T13:29:09.896035,whatsapp,anon_00043,add_to_cart,"{""category"": ""cimento"", ""value"": 1267.48}",2026-02-08T13:29:09.896035
2026-02-08T13:27:47.999532,web,anon_00062,submit_quote,"{""category"": ""massa"", ""value"": 3658.07}",2026-02-08T13:27:47.999532
2026-02-08T13:20:49.191973,store,anon_00074,page_view,{},2026-02-08T13:20:49.191973
2026-02-08T11:58:35.778046,web,anon_00074,product_view,"{""category"": ""massa"", ""value"": 2152.26}",2026-02-08T11:58:35.778046
2026-02-08T11:26:15.442154,web,anon_00065,scan_qr_service,{},2026-02-08T11:26:15.442154
2026-02-08T11:07:02.641687,whatsapp,anon_00021,whatsapp_quote_request,{},2026-02-08T11:07:02.641687
2026-02-08T09:51:31.674091,app,anon_00065,submit_quote,"{""category"": ""areia"", ""value"": 1980.81}",2026-02-08T09:51:31.674091
2026-02-08T08:36:31.959359,store,anon_00045,page_view,{},2026-02-08T08:36:31.959359
